Prefix,Name,Storage,Number
VIM,Canon m50 M.Rig,Videolager,5
VIU,Canon m50 U.Rig,Videolager,3
VIB,Canon m50 batteri,Videolager,18
VIL,Canon m50 lader,Videolager,6
VIO,Canon m50 objektiv,Videolager,2
Micm,Røde-Shotgun Microfon mini,Videolager,3
Mic,Røde-Shotgun Microfon,Videolager,6
LedP,Led Panel,Videolager,5
