Prefix,Name,Storage,Number
BAG,Kamerabag,Fotolager,31
BLZ,Blitzutløser,Fotolager,6
USB,Usb-USB-mini,Fotolager,18
SDL,SD-kortleser,Fotolager,19
TRI,Tripod,Fotolager,11
MON,Monopod,Fotolager,10
REF,Reflektor,Fotolager,13
LYKT,Lomelykt,Fotolager,9
LYSM,Lysmalings-Kit,Fotolager,7
USBH,USB HUB til usb-c,Fotolager,2
